154, 227836870, 0.467845, -0.082632
155, 250620558, 0.584331, -0.095734
156, 275682614, 0.480218, -0.191364
157, 303250876, 0.637231, -0.025541
158, 333575964, 0.531297, 0.021615
159, 366933561, 0.563172, -0.068660
160, 403626918, 0.824266, -0.206681
161, 443989610, 0.577062, -0.101417
162, 488388572, 0.552005, -0.027049
163, 537227430, 0.574301, -1.045060
164, 590950173, 0.498433, 0.019175
165, 650045191, 0.405994, 0.132362
166, 715049711, 0.374917, 0.276825
167, 786554683, 0.377182, -0.238208
168, 865210152, 0.650765, -0.268010
169, 951731168, 0.633268, -0.020722
170, 1046904285, 0.334636, 0.189779
171, 1151594714, 0.565807, 0.246478
172, 1266754186, 0.154932, -0.037128
173, 1393429605, 0.482940, 0.241983
174, 1532772566, 0.486760, -0.211887
175, 1686049823, 0.318105, -0.034782
176, 1854654806, 0.137655, 0.163804
177, 2040120287, 0.034896, 0.333413
